App version,assessment-go1.15.5/linux-amd64/902b5dca93
CPU model,Intel(R) Xeon(R) CPU           L5640  @ 2.27GHz
CPU numLogical,24
CPU flags,acpi aes aperfmperf apic arat arch_perfmon bts clflush cmov constant_tsc cpuid cx16 cx8 dca de ds_cpl dtes64 dtherm dts ept est flexpriority flush_l1d fpu fxsr ht ibpb ibrs ida lahf_lm lm mca mce mmx monitor msr mtrr nonstop_tsc nopl nx pae pat pbe pcid pclmulqdq pdcm pdpe1gb pebs pge pni popcnt pse pse36 pti rdtscp rep_good sep smx ssbd sse sse2 sse4_1 sse4_2 ssse3 stibp syscall tm tm2 tpr_shadow tsc vme vmx vnmi vpid xtopology xtpr
CPU maxFreq,2516 MHz
Memory size,31.40 GB
"fibonacci, function _main, numRuns 10",1.539,
"cpu calculate, function cpuCalculate, numRuns 2000",1.176,
"storage100, function store100, numRuns 2000",1.001,
"C API big int, function bigIntNewTest, numRuns 700",1.467,
"C API big int mul 32, function bigIntMul32Test, numRuns 2",1.006,
"C API sha256, function sha256Test, numRuns 30",0.898,
"C API keccak256, function keccak256Test, numRuns 30",1.410,
"C API ripemd160, function ripemd160Test, numRuns 30",0.957,
"C API verify BLS, function verifyBLSTest, numRuns 5",1.964,
"C API verify ED25519, function verifyEd25519Test, numRuns 50",1.150,
"C API verify secp256k1 uncompressed, function verifySecp256k1UncompressedKeyTest, numRuns 400",15.402,
"C API verify secp256k1 compressed, function verifySecp256k1CompressedKeyTest, numRuns 200",8.454,
"Delegation in WASM VM, 2000 stake executions, minimum duration",1.168,
"ERC20 in C, 1000 transfer executions, minimum duration",0.837,
"ERC20 in Rust, 300 transfer executions, minimum duration",0.577,
TOTAL,39.005,